"","GO","evidence","gene"
"289","GO:0006468","ISS","LOC105837008"
"290","GO:0006396","ISS","LOC105837029"
"291","GO:0051205","ISS","LOC105837110"
"292","GO:0055085","ISS","LOC105837155"
"293","GO:0055085","ISS","LOC105837155"
"294","GO:0006281","ISS","LOC105837208"
"295","GO:0055114","ISS","LOC105837234"
"296","GO:0055114","ISS","LOC105837234"
"297","GO:0006470","ISS","LOC105837259"
"298","GO:0000077","ISS","LOC105837271"
"299","GO:0006281","ISS","LOC105837271"
"300","GO:0006030","ISS","LOC105837392"
"301","GO:0006030","ISS","LOC105837392"
"302","GO:0006030","ISS","LOC105837392"
"303","GO:0006030","ISS","LOC105837392"
"304","GO:0006030","ISS","LOC105837392"
"305","GO:0015937","ISS","LOC105837422"
"306","GO:0009058","ISS","LOC105837422"
"307","GO:0006364","ISS","LOC105837400"
"308","GO:0035556","ISS","LOC105837479"
"309","GO:0007186","ISS","LOC105837512"
"310","GO:0007186","ISS","LOC105837523"
"311","GO:0007031","ISS","LOC105837776"
"312","GO:0050909","ISS","LOC105837882"
"313","GO:0006260","ISS","LOC105837958"
"314","GO:0015031","ISS","LOC105837967"
"315","GO:0006886","ISS","LOC105838137"
"316","GO:0007264","ISS","LOC105838224"
"317","GO:0007165","ISS","LOC105838224"
"318","GO:0006814","ISS","LOC105838229"
"319","GO:0055114","ISS","LOC105838258"
"320","GO:0007018","ISS","LOC105838275"
"321","GO:0007608","ISS","LOC105838337"
"322","GO:0006457","ISS","LOC105838378"
"323","GO:0006950","ISS","LOC105838378"
"324","GO:0006457","ISS","LOC105838378"
"325","GO:0006950","ISS","LOC105838378"
"326","GO:0006779","ISS","LOC105838500"
"327","GO:0006364","ISS","LOC105838562"
"328","GO:0006364","ISS","LOC105838562"
"329","GO:0006265","ISS","LOC105838617"
"330","GO:0006597","ISS","LOC105838642"
"331","GO:0008295","ISS","LOC105838642"
"332","GO:0030833","ISS","LOC105838652"
"333","GO:0034314","ISS","LOC105838652"
"334","GO:0006468","ISS","LOC105838693"
"335","GO:0008033","ISS","LOC105838741"
"336","GO:0003333","ISS","LOC105838773"
"337","GO:0006810","ISS","LOC105838773"
"338","GO:0055085","ISS","LOC105838773"
"339","GO:0006030","ISS","LOC105838780"
"340","GO:0008152","ISS","LOC105838837"
"341","GO:0055114","ISS","LOC105838891"
"342","GO:0006508","ISS","LOC105838898"
"343","GO:0006468","ISS","LOC105838917"
"344","GO:0006468","ISS","LOC105838917"
"345","GO:0055114","ISS","LOC105839084"
"346","GO:0007018","ISS","LOC105839076"
"347","GO:0055114","ISS","LOC105839107"
"348","GO:0008152","ISS","LOC105839294"
"349","GO:0055114","ISS","LOC105839294"
"350","GO:0055114","ISS","LOC105839321"
"351","GO:0007018","ISS","LOC105839380"
"352","GO:0007018","ISS","LOC105839380"
"353","GO:0015074","ISS","LOC105839496"
"354","GO:0006869","ISS","LOC105839512"
"355","GO:0006869","ISS","LOC105839512"
"356","GO:0006869","ISS","LOC105839517"
"357","GO:0006869","ISS","LOC105839517"
"358","GO:0006468","ISS","LOC105839565"
"359","GO:0055085","ISS","LOC105839602"
"360","GO:0055085","ISS","LOC105839602"
"361","GO:0055114","ISS","LOC105839620"
"362","GO:0016051","ISS","LOC105839646"
"363","GO:0033014","ISS","LOC105839664"
"364","GO:0006633","ISS","LOC105839700"
"365","GO:0008610","ISS","LOC105839700"
"366","GO:0043039","ISS","LOC105839721"
"367","GO:0008152","ISS","LOC105839744"
"368","GO:0055114","ISS","LOC105839744"
"369","GO:0006810","ISS","LOC105839752"
"370","GO:0005975","ISS","LOC105839772"
"371","GO:0005975","ISS","LOC105839836"
"372","GO:0035023","ISS","LOC105839888"
"373","GO:0006807","ISS","LOC105839919"
"374","GO:0006807","ISS","LOC105839870"
"375","GO:0000012","ISS","LOC105840100"
"376","GO:0006886","ISS","LOC105840136"
"377","GO:0006886","ISS","LOC105840136"
"378","GO:0006351","ISS","LOC105840179"
"379","GO:0055114","ISS","LOC105840188"
"380","GO:0055114","ISS","LOC105840194"
"381","GO:0055114","ISS","LOC105840194"
"382","GO:0006355","ISS","LOC105840197"
"383","GO:0006355","ISS","LOC105840197"
"384","GO:0008152","ISS","LOC105840224"
"385","GO:0008152","ISS","LOC105840230"
"386","GO:0006265","ISS","LOC105840228"
"387","GO:0006265","ISS","LOC105840228"
"388","GO:0006629","ISS","LOC105840237"
"389","GO:0006269","ISS","LOC105840244"
"390","GO:0006269","ISS","LOC105840244"
"391","GO:0006418","ISS","LOC105840245"
"392","GO:0055114","ISS","LOC105840248"
"393","GO:0055114","ISS","LOC105840268"
"394","GO:0006418","ISS","LOC105840275"
"395","GO:0055085","ISS","LOC105840280"
"396","GO:0006886","ISS","LOC105840301"
"397","GO:0016192","ISS","LOC105840301"
"398","GO:0006886","ISS","LOC105840301"
"399","GO:0016192","ISS","LOC105840301"
"400","GO:0015074","ISS","LOC105840305"
"401","GO:0006470","ISS","LOC105840331"
"402","GO:0006810","ISS","LOC105840341"
"403","GO:0055085","ISS","LOC105840341"
"404","GO:0003333","ISS","LOC105840341"
"405","GO:0006468","ISS","LOC105840350"
"406","GO:0006468","ISS","LOC105840352"
"407","GO:0044237","ISS","LOC105840360"
"408","GO:0008152","ISS","LOC105840362"
"409","GO:0008654","ISS","LOC105840383"
"410","GO:0055114","ISS","LOC105840396"
"411","GO:0007608","ISS","LOC105840397"
"412","GO:0034453","ISS","LOC105840406"
"413","GO:0015696","ISS","LOC105840418"
"414","GO:0006810","ISS","LOC105840432"
"415","GO:0006511","ISS","LOC105840433"
"416","GO:0006468","ISS","LOC105840438"
"417","GO:0008643","ISS","LOC105840445"
"418","GO:0006810","ISS","LOC105840451"
"419","GO:0006810","ISS","LOC105840455"
"420","GO:0006811","ISS","LOC105840455"
"421","GO:0007186","ISS","LOC105840456"
"422","GO:0006468","ISS","LOC105840454"
"423","GO:0008152","ISS","LOC105840458"
"424","GO:0055114","ISS","LOC105840458"
"425","GO:0006810","ISS","LOC105840467"
"426","GO:0006741","ISS","LOC105840468"
"427","GO:0008152","ISS","LOC105840468"
"428","GO:0006355","ISS","LOC105840471"
"429","GO:0005975","ISS","LOC105840475"
"430","GO:0055114","ISS","LOC105840476"
"431","GO:0006420","ISS","LOC105840481"
"432","GO:0006420","ISS","LOC105840481"
"433","GO:0006260","ISS","LOC105840483"
"434","GO:0016114","ISS","LOC105840484"
"435","GO:0006508","ISS","LOC105840485"
"436","GO:0006508","ISS","LOC105840497"
"437","GO:0006260","ISS","LOC105840499"
"438","GO:0006807","ISS","LOC105840500"
"439","GO:0006542","ISS","LOC105840500"
"440","GO:0006807","ISS","LOC105840500"
"441","GO:0000160","ISS","LOC105840505"
"442","GO:0006810","ISS","LOC105840506"
"443","GO:0006810","ISS","LOC105840507"
"444","GO:0006265","ISS","LOC105840512"
"445","GO:0006508","ISS","LOC105840517"
"446","GO:0006508","ISS","LOC105840517"
"447","GO:0006810","ISS","LOC105840517"
"448","GO:0008152","ISS","LOC105840518"
"449","GO:0019752","ISS","LOC105840522"
"450","GO:0044262","ISS","LOC105840523"
"451","GO:0006807","ISS","LOC105840526"
"452","GO:0006542","ISS","LOC105840526"
"453","GO:0006807","ISS","LOC105840526"
"454","GO:0006355","ISS","LOC105840530"
"455","GO:0006457","ISS","LOC105840534"
"456","GO:0055114","ISS","LOC105840538"
"457","GO:0055114","ISS","LOC105840538"
"458","GO:0006313","ISS","LOC105840546"
"459","GO:0006313","ISS","LOC105840546"
"460","GO:0008152","ISS","LOC105840560"
"461","GO:0006468","ISS","LOC105840567"
"462","GO:0009190","ISS","LOC105840591"
"463","GO:0035556","ISS","LOC105840591"
"464","GO:0006182","ISS","LOC105840591"
"465","GO:0008152","ISS","LOC105840599"
"466","GO:0043461","ISS","LOC105840603"
"467","GO:0006412","ISS","LOC105840613"
"468","GO:0008152","ISS","LOC105840616"
"469","GO:0032957","ISS","LOC105840617"
"470","GO:0006207","ISS","LOC105840621"
"471","GO:0009116","ISS","LOC105840621"
"472","GO:0008152","ISS","LOC105840629"
"473","GO:0007156","ISS","LOC105840659"
"474","GO:0055085","ISS","LOC105840678"
"475","GO:0055085","ISS","LOC105840678"
"476","GO:0055114","ISS","LOC105840686"
"477","GO:0006396","ISS","LOC105840689"
"478","GO:0006396","ISS","LOC105840689"
"479","GO:0006396","ISS","LOC105840689"
"480","GO:0055114","ISS","LOC105840696"
"481","GO:0017187","ISS","LOC105840699"
"482","GO:0017187","ISS","LOC105840699"
"483","GO:0035556","ISS","LOC105840701"
"484","GO:0009190","ISS","LOC105840708"
"485","GO:0035556","ISS","LOC105840708"
"486","GO:0009190","ISS","LOC105840708"
"487","GO:0035556","ISS","LOC105840708"
"488","GO:0006351","ISS","LOC105840712"
"489","GO:0006351","ISS","LOC105840712"
"490","GO:0006351","ISS","LOC105840712"
"491","GO:0006914","ISS","LOC105840720"
"492","GO:0044237","ISS","LOC105840739"
"493","GO:0007608","ISS","LOC105840747"
"494","GO:0007018","ISS","LOC105840748"
"495","GO:0016567","ISS","LOC105840751"
"496","GO:0055114","ISS","LOC105840752"
"497","GO:0055114","ISS","LOC105840752"
"498","GO:0055114","ISS","LOC105840753"
"499","GO:0055114","ISS","LOC105840753"
"500","GO:0006355","ISS","LOC105840758"
"501","GO:0006468","ISS","LOC105840764"
"502","GO:0006468","ISS","LOC105840764"
"503","GO:0006508","ISS","LOC105840774"
"504","GO:0006559","ISS","LOC105840789"
"505","GO:0006570","ISS","LOC105840789"
"506","GO:0055114","ISS","LOC105840789"
"507","GO:0006506","ISS","LOC105840790"
"508","GO:0055085","ISS","LOC105840801"
"509","GO:0006355","ISS","LOC105840804"
"510","GO:0006351","ISS","LOC105840804"
"511","GO:0008272","ISS","LOC105840809"
"512","GO:0007186","ISS","LOC105840811"
"513","GO:0007018","ISS","LOC105840816"
"514","GO:0007018","ISS","LOC105840816"
"515","GO:0006313","ISS","LOC105840830"
"516","GO:0006313","ISS","LOC105840830"
"517","GO:0015074","ISS","LOC105840837"
"518","GO:0007165","ISS","LOC105840918"
"519","GO:0007165","ISS","LOC105840918"
"520","GO:0006303","ISS","LOC105840927"
"521","GO:0008299","ISS","LOC105840938"
"522","GO:0055114","ISS","LOC105840941"
"523","GO:0006400","ISS","LOC105840947"
"524","GO:0006904","ISS","LOC105840951"
"525","GO:0016192","ISS","LOC105840951"
"526","GO:0007608","ISS","LOC105840961"
"527","GO:0008152","ISS","LOC105840981"
"528","GO:0051016","ISS","LOC105840983"
"529","GO:0006508","ISS","LOC105840999"
"530","GO:0006355","ISS","LOC105841010"
"531","GO:0006412","ISS","LOC105841019"
"532","GO:0055114","ISS","LOC105841043"
"533","GO:0008152","ISS","LOC105841051"
"534","GO:0000724","ISS","LOC105841082"
"535","GO:0006281","ISS","LOC105841104"
"536","GO:0006310","ISS","LOC105841104"
"537","GO:0006506","ISS","LOC105841102"
"538","GO:0006629","ISS","LOC105841106"
"539","GO:0006468","ISS","LOC105841107"
"540","GO:0051056","ISS","LOC105841124"
"541","GO:0055114","ISS","LOC105841149"
"542","GO:0007608","ISS","LOC105841159"
"543","GO:0007186","ISS","LOC105827760"
"544","GO:0006468","ISS","LOC105827764"
"545","GO:0006468","ISS","LOC105827764"
"546","GO:0006812","ISS","LOC105827766"
"547","GO:0055085","ISS","LOC105827766"
"548","GO:0015031","ISS","LOC105827772"
"549","GO:0007608","ISS","LOC105827782"
"550","GO:0008152","ISS","LOC105827768"
"551","GO:0000226","ISS","LOC105827778"
"552","GO:0005975","ISS","LOC105827776"
"553","GO:0008152","ISS","LOC105827807"
"554","GO:0006260","ISS","LOC105827795"
"555","GO:0007165","ISS","LOC105827804"
"556","GO:0006508","ISS","LOC105827808"
"557","GO:0055114","ISS","LOC105827815"
"558","GO:0055085","ISS","LOC105827828"
"559","GO:0055085","ISS","LOC105827828"
"560","GO:0005975","ISS","LOC105827838"
"561","GO:0006508","ISS","LOC105827856"
"562","GO:0007010","ISS","LOC105827857"
"563","GO:0007010","ISS","LOC105827857"
"564","GO:0006468","ISS","LOC105827860"
"565","GO:0006508","ISS","LOC105827859"
"566","GO:0055114","ISS","LOC105827862"
"567","GO:0055114","ISS","LOC105827863"
"568","GO:0006269","ISS","LOC105827879"
"569","GO:0006260","ISS","LOC105827880"
"570","GO:0055114","ISS","LOC105827880"
"571","GO:0006811","ISS","LOC105827888"
"572","GO:0055085","ISS","LOC105827888"
"573","GO:0006811","ISS","LOC105827888"
"574","GO:0055085","ISS","LOC105827888"
"575","GO:0006811","ISS","LOC105827888"
"576","GO:0055085","ISS","LOC105827888"
"577","GO:0006811","ISS","LOC105827888"
"578","GO:0055085","ISS","LOC105827888"
"579","GO:0008152","ISS","LOC105827907"
"580","GO:0055114","ISS","LOC105827907"
"581","GO:0055114","ISS","LOC105827907"
"582","GO:0055114","ISS","LOC105827917"
"583","GO:0006810","ISS","LOC105827922"
"584","GO:0006810","ISS","LOC105827922"
"585","GO:0006355","ISS","LOC105827931"
"586","GO:0009186","ISS","LOC105827932"
"587","GO:0055114","ISS","LOC105827932"
"588","GO:0009058","ISS","LOC105827941"
"589","GO:0008152","ISS","LOC105827941"
"590","GO:0006265","ISS","LOC105827946"
"591","GO:0006265","ISS","LOC105827946"
"592","GO:0006265","ISS","LOC105827946"
"593","GO:0006265","ISS","LOC105827946"
"594","GO:0006265","ISS","LOC105827946"
"595","GO:0006807","ISS","LOC105827947"
"596","GO:0003333","ISS","LOC105827954"
"597","GO:0006810","ISS","LOC105827954"
"598","GO:0055085","ISS","LOC105827954"
"599","GO:0055114","ISS","LOC105827963"
"600","GO:0006352","ISS","LOC105827965"
"601","GO:0006355","ISS","LOC105827965"
"602","GO:0006694","ISS","LOC105827966"
"603","GO:0055114","ISS","LOC105827966"
"604","GO:0055114","ISS","LOC105827974"
"605","GO:0008152","ISS","LOC105827974"
"606","GO:0006810","ISS","LOC105827975"
"607","GO:0015969","ISS","LOC105827986"
"608","GO:0006520","ISS","LOC105827987"
"609","GO:0006520","ISS","LOC105827987"
"610","GO:0006260","ISS","LOC105827992"
"611","GO:0009058","ISS","LOC105827994"
"612","GO:0006508","ISS","LOC105827997"
"613","GO:0006508","ISS","LOC105827997"
"614","GO:0006355","ISS","LOC105828007"
"615","GO:0006418","ISS","LOC105828009"
"616","GO:0006418","ISS","LOC105828009"
"617","GO:0006418","ISS","LOC105828009"
"618","GO:0005975","ISS","LOC105828013"
"619","GO:0005975","ISS","LOC105828017"
"620","GO:0015031","ISS","LOC105828020"
"621","GO:0006508","ISS","LOC105828030"
"622","GO:0055114","ISS","LOC105828031"
"623","GO:0055114","ISS","LOC105828031"
"624","GO:0055114","ISS","LOC105828031"
"625","GO:0008152","ISS","LOC105828033"
"626","GO:0009058","ISS","LOC105828040"
"627","GO:0008152","ISS","LOC105828045"
"628","GO:0007155","ISS","LOC105828046"
"629","GO:0008272","ISS","LOC105828057"
"630","GO:0016310","ISS","LOC105828062"
"631","GO:0000160","ISS","LOC105828077"
"632","GO:0006412","ISS","LOC105828078"
"633","GO:0055114","ISS","LOC105828079"
"634","GO:0055114","ISS","LOC105828079"
"635","GO:0006355","ISS","LOC105828080"
